,mass,Composition: dHex-HexNAc-NeuAc-Hex
0,535.2262,0-1-0-1
1,739.326,0-1-0-2
2,913.4152,1-1-0-2
3,1087.5044,2-1-0-2
4,1100.4998,0-1-1-2
5,1117.515,1-1-0-3
6,1158.5416,1-2-0-2
7,1188.5522,0-2-0-3
8,1274.589,1-1-1-2
9,1291.6042,2-1-0-3
10,1332.6308,2-2-0-2
11,1345.6262,0-2-1-2
12,1362.6414,1-2-0-3
13,1461.6736,0-1-2-2
14,1536.7306,2-2-0-3
15,1549.726,0-2-1-3
16,1566.7412,1-2-0-4
17,1607.7678,1-3-0-3
18,1637.7784,0-3-0-4
19,1710.8198,3-2-0-3
20,1723.8152,1-2-1-3
21,1740.8304,2-2-0-4
22,1781.857,2-3-0-3
23,1811.8676,1-3-0-4
24,1884.909,4-2-0-3
25,1897.9044,2-2-1-3
26,1914.9196,3-2-0-4
27,1955.9462,3-3-0-3
28,1985.9568,2-3-0-4
29,1998.9522,0-3-1-4
30,2015.9674,1-3-0-5
31,2056.994,1-4-0-4
32,2071.9936,3-2-1-3
33,2087.0046,0-4-0-5
34,2089.0088,4-2-0-4
35,2130.0354,4-3-0-3
36,2160.046,3-3-0-4
37,2173.0414,1-3-1-4
38,2190.0566,2-3-0-5
39,2231.0832,2-4-0-4
40,2261.0938,1-4-0-5
41,2334.1352,4-3-0-4
42,2347.1306,2-3-1-4
43,2364.1458,3-3-0-5
44,2405.1724,3-4-0-4
45,2435.183,2-4-0-5
46,2448.1784,0-4-1-5
47,2465.1936,1-4-0-6
48,2506.2202,1-5-0-5
49,2508.2244,5-3-0-4
50,2521.2198,3-3-1-4
51,2536.2308,0-5-0-6
52,2538.235,4-3-0-5
53,2579.2616,4-4-0-4
54,2609.2722,3-4-0-5
55,2622.2676,1-4-1-5
56,2639.2828,2-4-0-6
57,2680.3094,2-5-0-5
58,2682.3136,6-3-0-4
59,2695.309,4-3-1-4
60,2710.32,1-5-0-6
61,2712.3242,5-3-0-5
62,2753.3508,5-4-0-4
63,2783.3614,4-4-0-5
64,2796.3568,2-4-1-5
65,2813.372,3-4-0-6
66,2854.3986,3-5-0-5
67,2869.3982,5-3-1-4
68,2884.4092,2-5-0-6
69,2886.4134,6-3-0-5
70,2897.4046,0-5-1-6
71,2914.4198,1-5-0-7
72,2927.44,6-4-0-4
73,2955.4464,1-6-0-6
74,2957.4506,5-4-0-5
75,2970.446,3-4-1-5
76,2985.457,0-6-0-7
77,2987.4612,4-4-0-6
78,3028.4878,4-5-0-5
79,3058.4984,3-5-0-6
80,3071.4938,1-5-1-6
81,3088.509,2-5-0-7
82,3129.5356,2-6-0-6
83,3131.5398,6-4-0-5
84,3144.5352,4-4-1-5
85,3159.5462,1-6-0-7
86,3161.5504,5-4-0-6
87,3202.577,5-5-0-5
88,3232.5876,4-5-0-6
89,3245.583,2-5-1-6
90,3262.5982,3-5-0-7
91,3303.6248,3-6-0-6
92,3305.629,7-4-0-5
93,3318.6244,5-4-1-5
94,3333.6354,2-6-0-7
95,3335.6396,6-4-0-6
96,3346.6308,0-6-1-7
97,3363.646,1-6-0-8
98,3376.6662,6-5-0-5
99,3404.6726,1-7-0-7
100,3406.6768,5-5-0-6
101,3419.6722,3-5-1-6
102,3436.6874,4-5-0-7
103,3477.714,4-6-0-6
104,3479.7182,8-4-0-5
105,3492.7136,6-4-1-5
106,3507.7246,3-6-0-7
107,3509.7288,7-4-0-6
108,3520.72,1-6-1-7
109,3537.7352,2-6-0-8
110,3550.7554,7-5-0-5
111,3578.7618,2-7-0-7
112,3580.766,6-5-0-6
113,3593.7614,4-5-1-6
114,3610.7766,5-5-0-7
115,3651.8032,5-6-0-6
116,3666.8028,7-4-1-5
117,3681.8138,4-6-0-7
118,3683.818,8-4-0-6
119,3694.8092,2-6-1-7
120,3711.8244,3-6-0-8
121,3724.8446,8-5-0-5
122,3752.851,3-7-0-7
123,3754.8552,7-5-0-6
124,3767.8506,5-5-1-6
125,3784.8658,6-5-0-7
126,3825.8924,6-6-0-6
127,3855.903,5-6-0-7
128,3868.8984,3-6-1-7
129,3885.9136,4-6-0-8
130,3926.9402,4-7-0-7
131,3928.9444,8-5-0-6
132,3941.9398,6-5-1-6
133,3958.955,7-5-0-7
134,3999.9816,7-6-0-6
135,4029.9922,6-6-0-7
136,4042.9876,4-6-1-7
137,4060.0028,5-6-0-8
138,4101.0294,5-7-0-7
139,4103.0336,9-5-0-6
140,4116.029,7-5-1-6
141,4133.0442,8-5-0-7
142,4174.0708,8-6-0-6
143,4204.0814,7-6-0-7
144,4217.0768,5-6-1-7
145,4234.092,6-6-0-8
146,4275.1186,6-7-0-7
147,4277.1228,10-5-0-6
148,4290.1182,8-5-1-6
149,4307.1334,9-5-0-7
150,4348.16,9-6-0-6
151,4378.1706,8-6-0-7
152,4391.166,6-6-1-7
153,4408.1812,7-6-0-8
154,4449.2078,7-7-0-7
155,4464.2074,9-5-1-6
156,4481.2226,10-5-0-7
157,4522.2492,10-6-0-6
158,4552.2598,9-6-0-7
159,4565.2552,7-6-1-7
160,4582.2704,8-6-0-8
161,4623.297,8-7-0-7
162,4726.349,10-6-0-7
163,4739.3444,8-6-1-7
164,4756.3596,9-6-0-8
165,4797.3862,9-7-0-7
166,4900.4382,11-6-0-7
167,4913.4336,9-6-1-7
168,4930.4488,10-6-0-8
169,4971.4754,10-7-0-7
