,Glycan.type,mass,Composition: dHex-HexNAc-NeuAc-Hex
0,Core 1,534.2262,0-1-0-1
1,STn,691.3002,0-1-1-0
2,Core 1,708.3154,1-1-0-1
3,Core 1,895.4,0-1-1-1
4,Core 1,912.4152,1-1-0-2
5,Core 1,953.4418,1-2-0-1
6,Core 2,983.4524,0-2-0-2
7,Core 1,1069.4892,1-1-1-1
8,Polyhexose,1089.499,0-0-0-5
9,Core 2,1157.5416,1-2-0-2
10,Core 1,1256.5738,0-1-2-1
11,Core 1,1273.589,1-1-1-2
12,Polyhexose,1293.5988,0-0-0-6
13,Core 1,1314.6156,1-2-1-1
14,Core 2,1331.6308,2-2-0-2
15,Core 2,1344.6262,0-2-1-2
16,Core 2,1361.6414,1-2-0-3
17,Core 2,1402.668,1-3-0-2
18,Core 2,1432.6786,0-3-0-3
19,Polyhexose,1497.6986,0-0-0-7
20,Core 2,1505.72,3-2-0-2
21,Core 2,1518.7154,1-2-1-2
22,Core 2,1535.7306,2-2-0-3
23,Core 2,1576.7572,2-3-0-2
24,Core 2,1606.7678,1-3-0-3
25,Core 2,1692.8046,2-2-1-2
26,Polyhexose,1701.7984,0-0-0-8
27,Core 2,1705.8,0-2-2-2
28,Core 2,1709.8198,3-2-0-3
29,Core 2,1722.8152,1-2-1-3
30,Core 2,1739.8304,2-2-0-4
31,Core 2,1750.8464,3-3-0-2
32,Core 2,1763.8418,1-3-1-2
33,Core 2,1780.857,2-3-0-3
34,Core 2,1793.8524,0-3-1-3
35,Core 2,1810.8676,1-3-0-4
36,Core 2,1821.8836,2-4-0-2
37,Core 2,1851.8942,1-4-0-3
38,Core 2,1879.8892,1-2-2-2
39,Core 2,1881.9048,0-4-0-4
40,Core 2,1896.9044,2-2-1-3
41,Polyhexose,1905.8982,0-0-0-9
42,Core 2,1913.9196,3-2-0-4
43,Core 2,1937.931,2-3-1-2
44,Core 2,1954.9462,3-3-0-3
45,Core 2,1967.9416,1-3-1-3
46,Core 2,1984.9568,2-3-0-4
47,Core 2,1995.9728,3-4-0-2
48,Core 2,2025.9834,2-4-0-3
49,Core 2,2055.994,1-4-0-4
50,Polyhexose,2109.998,0-0-0-10
51,Core 2,2129.0354,4-3-0-3
52,Core 2,2142.0308,2-3-1-3
53,Core 2,2155.0262,0-3-2-3
54,Core 2,2159.046,3-3-0-4
55,Core 2,2172.0414,1-3-1-4
56,Core 2,2189.0566,2-3-0-5
57,Core 2,2200.0726,3-4-0-3
58,Core 2,2213.068,1-4-1-3
59,Core 2,2230.0832,2-4-0-4
60,Core 2,2243.0786,0-4-1-4
61,Core 2,2260.0938,1-4-0-5
62,Core 2,2271.1098,2-5-0-3
63,Core 2,2301.1204,1-5-0-4
64,Polyhexose,2314.0978,0-0-0-11
65,Core 2,2316.12,3-3-1-3
66,Core 2,2329.1154,1-3-2-3
67,Core 2,2331.131,0-5-0-5
68,Core 2,2333.1352,4-3-0-4
69,Core 2,2346.1306,2-3-1-4
70,Core 2,2363.1458,3-3-0-5
71,Core 2,2374.1618,4-4-0-3
72,Core 2,2387.1572,2-4-1-3
73,Core 2,2404.1724,3-4-0-4
74,Core 2,2417.1678,1-4-1-4
75,Core 2,2434.183,2-4-0-5
76,Core 2,2445.199,3-5-0-3
77,Core 2,2475.2096,2-5-0-4
78,Core 2,2503.2046,2-3-2-3
79,Core 2,2505.2202,1-5-0-5
80,Polyhexose,2518.1976,0-0-0-12
81,Core 2,2520.2198,3-3-1-4
82,Core 2,2537.235,4-3-0-5
83,Core 2,2561.2464,3-4-1-3
84,Core 2,2578.2616,4-4-0-4
85,Core 2,2591.257,2-4-1-4
86,Core 2,2604.2524,0-4-2-4
87,Core 2,2608.2722,3-4-0-5
88,Core 2,2619.2882,4-5-0-3
89,Core 2,2621.2676,1-4-1-5
90,Core 2,2638.2828,2-4-0-6
91,Core 2,2649.2988,3-5-0-4
92,Core 2,2662.2942,1-5-1-4
93,Core 2,2679.3094,2-5-0-5
94,Core 2,2692.3048,0-5-1-5
95,Core 2,2709.32,1-5-0-6
96,Core 2,2720.336,2-6-0-4
97,Polyhexose,2722.2974,0-0-0-13
98,Core 2,2750.3466,1-6-0-5
99,Core 2,2752.3508,5-4-0-4
100,Core 2,2765.3462,3-4-1-4
101,Core 2,2778.3416,1-4-2-4
102,Core 2,2780.3572,0-6-0-6
103,Core 2,2782.3614,4-4-0-5
104,Core 2,2795.3568,2-4-1-5
105,Core 2,2812.372,3-4-0-6
106,Core 2,2823.388,4-5-0-4
107,Core 2,2836.3834,2-5-1-4
108,Core 2,2853.3986,3-5-0-5
109,Core 2,2866.394,1-5-1-5
110,Core 2,2883.4092,2-5-0-6
111,Core 2,2894.4252,3-6-0-4
112,Core 2,2924.4358,2-6-0-5
113,Polyhexose,2926.3972,0-0-0-14
114,Core 2,2939.4354,4-4-1-4
115,Core 2,2952.4308,2-4-2-4
116,Core 2,2954.4464,1-6-0-6
117,Core 2,2956.4506,5-4-0-5
118,Core 2,2969.446,3-4-1-5
119,Core 2,2986.4612,4-4-0-6
120,Core 2,2997.4772,5-5-0-4
