Sample_collection,N-glycans,O-glycans,Terminals
NP1-0plus0,✓,✕,✕
NP2-0plus0,✓,✕,✕
NP3-0plus0,✓,✕,✕
NP4-0plus0,✓,✓,✕
P1-15plus3,✓,✕,✓
P10-20plus2,✓,✓,✕
P11-20plus2,✓,✕,✓
P12-17plus3,✓,✓,✓
P12-23plus3,✓,✓,✓
P12-31plus3,✓,✕,✓
P13-22plus3,✓,✓,✕
P14-18plus4,✓,✓,✕
P15-22plus2,✓,✕,✕
P16-19plus5,✓,✕,✕
P17-24plus2,✓,✓,✓
P18-14plus6,✓,✓,✓
P19-20plus4,✓,✕,✓
P2-22plus5,✓,✕,✕
P20-22plus4,✓,✓,✓
P20-24plus5,✓,✕,✓
P21-20plus3,✓,✓,✕
P22-21plus2,✓,✓,✓
P23-10plus3,✓,✓,✕
P24-13plus6,✓,✓,✓
P24-30plus6,✓,✓,✓
P25-16plus1,✓,✓,✓
P26-13plus6,✓,✕,✕
P27-31plus3,✓,✓,✓
P28-12plus6,✓,✓,✓
P28-20plus6,✓,✓,✓
P29-15plus4,✓,✓,✓
P29-21plus4,✓,✓,✓
P29-30plus4,✓,✕,✓
P3-20plus4,✓,✓,✕
P30-15plus4,✓,✓,✓
P30-24plus4,✓,✓,✕
P30-32plus4,✓,✓,✓
P31-15plus3,✓,✓,✓
P31-24plus0,✓,✕,✓
P31-32plus0,✓,✕,✓
P32-11plus0,✓,✓,✓
P32-21plus0,✓,✓,✓
P32-30plus5,✓,✓,✕
P33-16plus1,✓,✓,✓
P33-24plus1,✓,✕,✓
P34-14plus4,✓,✓,✓
P34-19plus1,✓,✓,✓
P34-31plus6,✓,✕,✕
P35-14plus4,✓,✓,✓
P35-20plus4,✓,✓,✓
P36-15plus1,✓,✕,✓
P36-23plus6,✓,✓,✓
P36-29plus6,✓,✓,✕
P4-20plus5,✓,✓,✓
P4-26plus0,✓,✓,✕
P5-23plus5,✓,✓,✕
P6-21plus3,✓,✓,✕
P7-22plus5,✓,✓,✓
P8-22plus0,✓,✓,✕
P9-25plus3,✓,✓,✕
